,season,week,team,opponent,score,opponent_score,total_rushes,total_rush_yards,rushing_epa,rush_tds,rushing_epa_standardized,rushing_epa_per_attempt,rushing_epa_per_attempt_standardized,rushing_value
2488,2017,18,CAR,NO,26,31,26,107.0,-1.0786189,0.0,-0.00605237334473612,-0.041485342307692304,0.07302093308625482,0.07302093308625482
2490,2017,18,JAX,BUF,10,3,33,156.0,1.156261,0.0,0.4169304151022123,0.03503821212121212,0.43163089008765637,0.43163089008765637
2491,2017,18,KC,TEN,21,22,16,69.0,-2.1598947,1.0,-0.21069918813071412,-0.13499341875,-0.3651830620432984,-0.3651830620432984
2492,2017,18,LA,ATL,13,26,16,115.0,2.4794588,0.0,0.6673644071529117,0.154966175,0.9936455786654664,0.9936455786654664
2493,2017,18,NO,CAR,31,26,21,42.0,-6.964136,2.0,-1.1199701433377445,-0.3316255238095238,-1.286653990396521,-1.286653990396521
2494,2017,18,TEN,KC,22,21,28,208.0,12.959586,1.0,2.6508774479810606,0.46284235714285715,2.4364361712349965,2.4364361712349965
2495,2017,19,ATL,PHI,10,15,20,86.0,-2.1163664,0.0,-0.2024608386290897,-0.10581832,-0.2284607026817831,-0.2284607026817831
2496,2017,19,JAX,PIT,45,42,34,165.0,9.20081,4.0,1.939475661411918,0.27061205882352946,1.5355932931286655,1.5355932931286655
2497,2017,19,MIN,NO,29,24,30,95.0,-2.525144,2.0,-0.2798278099382197,-0.08417146666666667,-0.12701772605823305,-0.12701772605823305
2498,2017,19,NE,TEN,35,14,24,102.0,3.6325526,2.0,0.8856037992852976,0.15135635833333333,0.9767290069082177,0.9767290069082177
2499,2017,19,NO,MIN,24,29,23,81.0,-2.3956475,0.0,-0.25531875660424846,-0.10415858695652173,-0.22068274725619552,-0.22068274725619552
2501,2017,19,PHI,ATL,15,10,29,99.0,-8.20479,1.0,-1.3547815479317273,-0.28292379310344823,-1.0584245820170957,-1.0584245820170957
2502,2017,19,PIT,JAX,42,45,18,83.0,-3.200428,1.0,-0.4076349056634124,-0.17780155555555555,-0.5657935043276137,-0.5657935043276137
2503,2017,19,TEN,NE,14,35,16,65.0,-0.62179387,0.0,0.08040825705502758,-0.038862116875,0.08531407297819173,0.08531407297819173
2504,2017,20,JAX,NE,20,24,30,103.0,-3.0029178,1.0,-0.3702532928336964,-0.10009726000000001,-0.20165027684736192,-0.20165027684736192
2505,2017,20,MIN,PHI,7,38,18,70.0,-1.0459628,0.0,0.00012825776559886103,-0.05810904444444445,-0.004882206057698097,-0.004882206057698097
2506,2017,20,NE,JAX,24,20,16,49.0,-3.2386794,1.0,-0.41487452683231707,-0.2024174625,-0.6811502646973778,-0.6811502646973778
2508,2017,20,PHI,MIN,38,7,27,114.0,-1.8784252,1.0,-0.15742708434886504,-0.0695713037037037,-0.05859743571186672,-0.05859743571186672
2509,2017,21,NE,PHI,33,41,22,113.0,1.2918184,1.0,0.442586579912956,0.058719018181818176,0.5426055162211336,0.5426055162211336
2511,2017,21,PHI,NE,41,33,27,164.0,5.3172894,1.0,1.2044641861289884,0.19693664444444445,1.1903304864056614,1.1903304864056614
2513,2018,1,ARI,WAS,6,24,14,69.0,2.6908731,1.0,0.707377568545414,0.19220522142857144,1.168157765640919,1.168157765640919
2514,2018,1,ATL,PHI,12,18,18,74.0,-2.6385093,1.0,-0.3012838043776188,-0.14658385,-0.4194989401178305,-0.4194989401178305
2515,2018,1,BAL,BUF,47,3,34,117.0,-3.7188976,3.0,-0.5057626471733585,-0.1093793411764706,-0.24514860564846558,-0.24514860564846558
2517,2018,1,BUF,BAL,3,47,22,83.0,-11.882841,0.0,-2.0509049807972195,-0.5401291363636364,-2.263757995701645,-2.263757995701645
2519,2018,1,CAR,DAL,16,8,30,153.0,-1.389943,2.0,-0.06497488454041005,-0.04633143333333333,0.05031084718787181,0.05031084718787181
2520,2018,1,CHI,GB,23,24,27,139.0,2.5094147,1.0,0.6730339870316505,0.0929412851851852,0.7029802634497123,0.7029802634497123
2521,2018,1,CIN,IND,34,23,20,101.0,3.5367603,1.0,0.8674737448847248,0.17683801500000002,1.0961429033189969,1.0961429033189969
2522,2018,1,CLE,PIT,21,21,38,177.0,5.4364734,2.0,1.2270214522524436,0.1430650894736842,0.9378738911019041,0.9378738911019041
2523,2018,1,DAL,CAR,8,16,22,97.0,1.2568338,1.0,0.4359652470794998,0.05712880909090909,0.5351533687356956,0.5351533687356956
2524,2018,1,DEN,SEA,27,24,32,146.0,-4.0300508,0.0,-0.5646528131147994,-0.1259390875,-0.32275203065079283,-0.32275203065079283
2525,2018,1,DET,NYJ,17,48,14,40.0,-3.4122689,0.0,-0.4477288071697579,-0.24373349285714285,-0.8747682948636187,-0.8747682948636187
2527,2018,1,GB,CHI,24,23,18,69.0,-3.4063265,0.0,-0.4466041235023862,-0.18924036111111112,-0.6193988236183724,-0.6193988236183724
2529,2018,1,HOU,NE,20,27,33,168.0,-2.3879008,1.0,-0.2538525835149197,-0.0723606303030303,-0.0716689703434253,-0.0716689703434253
2530,2018,1,IND,CIN,23,34,22,75.0,-4.5088406,0.0,-0.6552705884520589,-0.2049473,-0.6930057636201102,-0.6930057636201102
2531,2018,1,JAX,NYG,20,15,26,139.0,1.5419867,0.0,0.4899344866684969,0.05930718076923077,0.5453618042915973,0.5453618042915973
2532,2018,1,KC,LAC,38,28,27,106.0,-1.2504128,0.0,-0.03856681085888455,-0.04631158518518519,0.05040386094823726,0.05040386094823726
2533,2018,1,LA,LV,33,13,25,141.0,2.6140878,0.0,0.6928448590670498,0.104563512,0.757445144092358,0.757445144092358
2534,2018,1,LAC,KC,28,38,23,125.0,2.7139118,0.0,0.7117379700006298,0.1179961652173913,0.8203941697701814,0.8203941697701814
2535,2018,1,LV,LA,13,33,23,95.0,0.032819927,1.0,0.204303223048907,0.0014269533478260868,0.2741194917549338,0.2741194917549338
2536,2018,1,MIA,TEN,27,20,27,122.0,-2.879373,0.0,-0.34687068332429033,-0.10664344444444446,-0.23232745774499625,-0.23232745774499625
