,season,week,team,opponent,score,opponent_score,total_plays,total_possession_time_seconds,pass_percentage,run_percentage,total_plays_standardized,total_possession_time_standardized,pass_percentage_standardized
2723,2018,6,TEN,BAL,0,21,40.0,1346.0,0.65,0.35,-2.9058002251262023,-1.7645429015492682,0.5719103213982492
2724,2018,6,WAS,CAR,23,17,70.0,2124.0,0.5909090909090909,0.4090909090909091,0.4592485821884022,1.1330531558979633,0.013548349229940046
2725,2018,7,ARI,DEN,10,45,67.0,1751.0,0.6818181818181818,0.3181818181818182,0.12274370145694176,-0.2561542084051439,0.8725667679504149
2726,2018,7,ATL,NYG,23,20,65.0,1937.0,0.6885245901639344,0.3114754098360656,-0.1015928856973652,0.43658726548326876,0.9359369791674995
2727,2018,7,BAL,NO,23,24,65.0,1589.0,0.640625,0.359375,-0.1015928856973652,-0.8595096856627936,0.48332404696769987
2729,2018,7,BUF,IND,5,37,56.0,1601.0,0.6,0.4,-1.1111075278917466,-0.8148166873474122,0.09945019110198712
2730,2018,7,CAR,PHI,21,17,58.0,1483.0,0.7241379310344828,0.2758620689655172,-0.8867709407374396,-1.2542978374486633,1.2724546525271885
2731,2018,7,CHI,NE,31,38,78.0,1809.0,0.6710526315789473,0.3289473684210526,1.3565949308056302,-0.04013804988080017,0.770840902575622
2732,2018,7,CIN,KC,10,45,55.0,1577.0,0.6481481481481481,0.3518518518518518,-1.2232758214689001,-0.9042026839781752,0.5544117980539428
2734,2018,7,CLE,TB,23,26,62.0,1827.0,0.6290322580645161,0.3709677419354839,-0.43809776642882564,0.02690144759227202,0.37378187966110693
2735,2018,7,DAL,WAS,17,20,63.0,1745.0,0.639344262295082,0.360655737704918,-0.3259294728516722,-0.2785007075628346,0.4712220969088821
2736,2018,7,DEN,ARI,45,10,56.0,1849.0,0.4615384615384615,0.5384615384615384,-1.1111075278917466,0.10883861117047136,-1.208900938949199
2738,2018,7,DET,MIA,32,21,62.0,2019.0,0.4035087719298245,0.5964912280701754,-0.43809776642882564,0.7419894206383754,-1.7572352332201642
2739,2018,7,HOU,JAX,20,7,64.0,1775.0,0.4166666666666667,0.5833333333333334,-0.21376117927451868,-0.16676821177438098,-1.632903619984305
2740,2018,7,IND,BUF,37,5,61.0,1999.0,0.4035087719298245,0.5964912280701754,-0.5502660600059791,0.6675010901127396,-1.7572352332201642
2741,2018,7,JAX,HOU,7,20,68.0,1825.0,0.6764705882352942,0.3235294117647059,0.23491199503409524,0.01945261453970844,0.8220362727315642
2743,2018,7,KC,CIN,45,10,72.0,2023.0,0.5857142857142857,0.4142857142857143,0.6835851693427092,0.7568870867435026,-0.03553841755408715
2744,2018,7,LA,SF,39,10,64.0,1971.0,0.4310344827586206,0.5689655172413793,-0.21376117927451868,0.5632174273768495,-1.4971392147267595
2745,2018,7,LAC,TEN,20,19,46.0,1477.0,0.6511627906976745,0.3488372093023256,-2.2327904636632816,-1.276644336606354,0.5828977662888601
2746,2018,7,MIA,DET,21,32,55.0,1581.0,0.6481481481481481,0.3518518518518518,-1.2232758214689001,-0.8893050178730479,0.5544117980539428
2747,2018,7,MIN,NYJ,37,17,69.0,1931.0,0.640625,0.359375,0.34708028861124873,0.41424076632557805,0.48332404696769987
2748,2018,7,NE,CHI,38,31,65.0,1791.0,0.578125,0.421875,-0.1015928856973652,-0.10717754735387237,-0.10725111590262712
2749,2018,7,NO,BAL,24,23,71.0,2011.0,0.4492753623188406,0.5507246376811594,0.5714168757655557,0.7121940884281212,-1.3247774480519607
2750,2018,7,NYG,ATL,20,23,64.0,1663.0,0.671875,0.328125,-0.21376117927451868,-0.5839028627179413,0.7786116284028634
2751,2018,7,NYJ,MIN,17,37,70.0,1669.0,0.6521739130434783,0.3478260869565217,0.4592485821884022,-0.5615563635602505,0.5924520661937387
2752,2018,7,PHI,CAR,17,21,67.0,2117.0,0.6307692307692307,0.3692307692307692,0.12274370145694176,1.1069822402139906,0.39019488666891733
2753,2018,7,SF,LA,10,39,59.0,1629.0,0.5862068965517241,0.4137931034482758,-0.7746026471602862,-0.7105330246115221,-0.030883637945257725
2754,2018,7,TB,CLE,26,23,91.0,2263.0,0.6436781609195402,0.3563218390804598,2.8147827473086253,1.650747053051132,0.5121739830849285
2755,2018,7,TEN,LAC,19,20,70.0,2123.0,0.5147058823529411,0.4852941176470588,0.4592485821884022,1.1293287393716813,-0.7065112076386947
2756,2018,7,WAS,DAL,20,17,60.0,1855.0,0.4482758620689655,0.5517241379310345,-0.6624343535831326,0.1311851103281621,-1.334221928417703
2757,2018,8,ARI,SF,18,15,65.0,1661.0,0.676923076923077,0.3230769230769231,-0.1015928856973652,-0.5913516957705048,0.8263119300193132
2758,2018,8,BAL,CAR,21,36,64.0,1559.0,0.71875,0.28125,-0.21376117927451868,-0.9712421814512473,1.2215430005556087
2760,2018,8,BUF,NE,6,25,65.0,1690.0,0.7096774193548387,0.2903225806451613,-0.1015928856973652,-0.483343616508333,1.135814347880884
2762,2018,8,CAR,BAL,36,21,66.0,2041.0,0.5,0.5,0.010575407879788277,0.8239265842165747,-0.8454700694905358
2764,2018,8,CHI,NYJ,24,10,67.0,1964.0,0.4769230769230769,0.5230769230769231,0.12274370145694176,0.5371465116928771,-1.0635285911657337
2765,2018,8,CIN,TB,37,34,64.0,1441.0,0.5737704918032787,0.4262295081967213,-0.21376117927451868,-1.4107233315524983,-0.1483977461026092
2766,2018,8,CLE,PIT,18,33,62.0,1668.0,0.65,0.35,-0.43809776642882564,-0.5652807800865324,0.5719103213982492
2767,2018,8,DEN,KC,23,30,71.0,1961.0,0.5571428571428572,0.4428571428571428,0.5714168757655557,0.5259732621140317,-0.30551563486623673
2768,2018,8,DET,SEA,14,28,56.0,1505.0,0.7678571428571429,0.2321428571428571,-1.1111075278917466,-1.172360673870464,1.685566342810866
2769,2018,8,GB,LA,27,29,54.0,1550.0,0.6346153846153846,0.3653846153846153,-1.3354441150460536,-1.0047619301877835,0.4265379736147835
2770,2018,8,HOU,MIA,42,23,55.0,1731.0,0.3703703703703703,0.6296296296296297,-1.2232758214689001,-0.33064253893077966,-2.0703667035919557
2771,2018,8,IND,LV,42,28,73.0,2190.0,0.4571428571428571,0.5428571428571428,0.7957534629198627,1.3788646466325614,-1.2504358954587607
2772,2018,8,JAX,PHI,18,24,66.0,1642.0,0.7301587301587301,0.2698412698412698,0.010575407879788277,-0.6621156097698588,1.329346403301779
2773,2018,8,KC,DEN,30,23,55.0,1639.0,0.6666666666666666,0.3333333333333333,-1.2232758214689001,-0.6732888593487042,0.7293970314970024
2774,2018,8,LA,GB,29,27,77.0,2050.0,0.5526315789473685,0.4473684210526316,1.2444266372284767,0.8574463329531109,-0.34814361654710213
2776,2018,8,LV,IND,28,42,47.0,1410.0,0.6086956521739131,0.391304347826087,-2.120622170086128,-1.5261802438672338,0.18161717028394622
2777,2018,8,MIA,HOU,23,42,68.0,1869.0,0.6153846153846154,0.3846153846153846,0.23491199503409524,0.18332694169610714,0.24482253888545275
2779,2018,8,MIN,NO,20,30,67.0,1883.0,0.6666666666666666,0.3333333333333333,0.12274370145694176,0.23546877306405217,0.7293970314970024
2780,2018,8,NE,BUF,25,6,77.0,1910.0,0.6714285714285714,0.3285714285714285,1.2444266372284767,0.3360280192736605,0.7743932343823605
2781,2018,8,NO,MIN,30,20,56.0,1717.0,0.4528301886792453,0.5471698113207547,-1.1111075278917466,-0.3827843702987247,-1.2911871735436127
2783,2018,8,NYG,WAS,13,20,70.0,1582.0,0.7910447761194029,0.208955223880597,0.4592485821884022,-0.8855806013467662,1.904670987457852
2784,2018,8,NYJ,CHI,10,24,55.0,1636.0,0.5555555555555556,0.4444444444444444,-1.2232758214689001,-0.6844621089275496,-0.32051436916135606
2785,2018,8,PHI,JAX,24,18,63.0,1958.0,0.576271186440678,0.423728813559322,-0.3259294728516722,0.5148000125351864,-0.12476817581827224
2786,2018,8,PIT,CLE,33,18,73.0,2095.0,0.5522388059701493,0.4477611940298507,0.7957534629198627,1.0250450766357913,-0.3518550079869786
2787,2018,8,SEA,DET,28,14,61.0,2095.0,0.3114754098360656,0.6885245901639344,-0.5502660600059791,1.0250450766357913,-2.6268771181485713
2788,2018,8,SF,ARI,15,18,65.0,1939.0,0.5079365079365079,0.492063492063492,-0.1015928856973652,0.4440360985358323,-0.7704763980149391
2789,2018,8,TB,CIN,34,37,85.0,2159.0,0.6785714285714286,0.3214285714285714,2.1417729858457046,1.2634077343178258,0.8418875387103987
2791,2018,8,WAS,NYG,20,13,68.0,2018.0,0.5,0.5,0.23491199503409524,0.7382650041120936,-0.8454700694905358
2792,2018,9,ATL,WAS,38,14,65.0,1976.0,0.625,0.375,-0.1015928856973652,0.5818395100082585,0.3356802562501181
2793,2018,9,BAL,PIT,16,23,59.0,1411.0,0.7142857142857143,0.2857142857142857,-0.7746026471602862,-1.522455827340952,1.1793590603505855
2795,2018,9,BUF,CHI,9,41,82.0,2043.0,0.6585365853658537,0.3414634146341463,1.805268105114244,0.8313754172691383,0.6525742460829768
2796,2018,9,CAR,TB,42,28,59.0,1860.0,0.4909090909090909,0.509090909090909,-0.7746026471602862,0.14980719295957104,-0.9313719113625835
2797,2018,9,CHI,BUF,41,9,48.0,1557.0,0.4883720930232558,0.5116279069767442,-2.0084538765089746,-0.9786910145038109,-0.9553445183966435
2798,2018,9,CLE,KC,21,37,71.0,1851.0,0.6575342465753424,0.3424657534246575,0.5714168757655557,0.11628744422303494,0.6431029437716579
2800,2018,9,DAL,TEN,14,28,57.0,1534.0,0.6607142857142857,0.3392857142857143,-0.9989392343145931,-1.0643525946082921,0.6731517778903048
2802,2018,9,DEN,HOU,17,19,67.0,1655.0,0.6875,0.3125,0.12274370145694176,-0.6136981949281957,0.9262554191204451
2803,2018,9,DET,MIN,9,24,73.0,2205.0,0.6666666666666666,0.3333333333333333,0.7957534629198627,1.434730894526788,0.7293970314970024
2804,2018,9,GB,NE,17,31,70.0,1954.0,0.6376811594202898,0.3623188405797101,0.4592485821884022,0.49990234643005915,0.4555071008904738
2805,2018,9,HOU,DEN,19,17,63.0,1945.0,0.4590163934426229,0.5409836065573771,-0.3259294728516722,0.4663825976935231,-1.232732471372718
2806,2018,9,KC,CLE,37,21,59.0,1749.0,0.5789473684210527,0.4210526315789473,-0.7746026471602862,-0.26360304145770747,-0.09948039007538576
