,season,week,team,opponent,score,opponent_score,total_rushes_allowed,total_rush_yards_allowed,rushing_epa_allowed,rush_tds_allowed,ypc_allowed,epa_allowed_per_carry,rush_td_allowed_per_carry,rush_def_win
58,2014,2,NE,MIN,30,7,18,55.0,-2.5241969,0.0,3.0555555555555554,-0.14023316111111112,0.0,1
59,2014,2,NO,CLE,24,26,31,122.0,0.6954637,1.0,3.935483870967742,0.022434312903225808,0.03225806451612903,0
60,2014,2,NYG,ARI,14,25,27,126.0,0.06527847,1.0,4.666666666666667,0.0024177211111111115,0.037037037037037035,0
61,2014,2,NYJ,GB,24,31,20,82.0,-7.9958215,0.0,4.1,-0.399791075,0.0,1
62,2014,2,PHI,IND,30,27,37,170.0,-6.972015,0.0,4.594594594594595,-0.18843283783783785,0.0,0
63,2014,2,PIT,BAL,6,26,34,159.0,0.9418375,0.0,4.676470588235294,0.027701102941176472,0.0,0
64,2014,2,SEA,LAC,21,30,37,101.0,-4.4835353,0.0,2.72972972972973,-0.12117662972972973,0.0,1
65,2014,2,SF,CHI,20,28,15,48.0,-4.763488,0.0,3.2,-0.31756586666666664,0.0,1
66,2014,2,TB,LA,17,19,29,119.0,-6.0229993,1.0,4.103448275862069,-0.20768963103448276,0.034482758620689655,0
67,2014,2,TEN,DAL,10,26,43,220.0,-0.3121957,1.0,5.116279069767442,-0.00726036511627907,0.023255813953488372,0
68,2014,2,WAS,JAX,41,10,10,25.0,-3.1424475,0.0,2.5,-0.31424474999999996,0.0,1
70,2014,3,ARI,SF,23,14,23,82.0,-1.6960677,1.0,3.5652173913043477,-0.07374207391304348,0.043478260869565216,1
72,2014,3,ATL,TB,56,14,18,64.0,-12.065042,0.0,3.5555555555555554,-0.6702801111111111,0.0,1
74,2014,3,BAL,CLE,23,21,30,85.0,-4.749202,2.0,2.8333333333333335,-0.15830673333333334,0.06666666666666667,1
75,2014,3,BUF,LAC,10,22,36,83.0,-5.0094876,0.0,2.3055555555555554,-0.13915243333333333,0.0,1
77,2014,3,CAR,PIT,19,37,32,266.0,13.761656,1.0,8.3125,0.43005175,0.03125,0
79,2014,3,CHI,NYJ,27,19,26,114.0,-0.26659524,0.0,4.384615384615385,-0.010253663076923077,0.0,0
80,2014,3,CIN,TEN,33,7,27,150.0,5.7031426,1.0,5.555555555555555,0.2112275037037037,0.037037037037037035,0
83,2014,3,CLE,BAL,21,23,32,161.0,1.169975,1.0,5.03125,0.03656171875,0.03125,0
84,2014,3,DAL,LA,34,31,29,122.0,-6.3243017,0.0,4.206896551724138,-0.21807936896551725,0.0,0
85,2014,3,DEN,SEA,20,26,36,130.0,1.2739043,1.0,3.611111111111111,0.03538623055555556,0.027777777777777776,0
86,2014,3,DET,GB,19,7,22,76.0,-11.741176,0.0,3.4545454545454546,-0.5336898181818182,0.0,1
