,season,week,team,opponent,score,opponent_score,total_rushes_allowed,total_rush_yards_allowed,rushing_epa_allowed,rush_tds_allowed,rushing_epa_allowed_standardized,rushing_epa_per_attempt_allowed,rushing_epa_per_attempt_allowed_standardized,rush_def_value
172,2014,5,NYJ,LAC,0,31,40,162.0,-3.5542426,1.0,-0.47459934795905495,-0.088856065,-0.1489710137671343,0.47459934795905495
174,2014,5,PHI,LA,34,28,23,125.0,-3.0246964,1.0,-0.37437520245240585,-0.13150853913043478,-0.34885197889048414,0.37437520245240585
175,2014,5,PIT,JAX,17,9,15,56.0,0.01456964,0.0,0.20084909681813407,0.0009713093333333333,0.2719842213579346,-0.20084909681813407
176,2014,5,SEA,WAS,27,17,17,32.0,-8.866489,0.0,-1.4800174893049336,-0.5215581764705882,-2.176729482998304,1.4800174893049336
177,2014,5,SF,KC,22,17,20,107.0,3.0536633,1.0,0.7760407707234038,0.152683165,0.9829467797917888,-0.7760407707234038
179,2014,5,TB,NO,31,37,28,141.0,3.899983,2.0,0.9362188038354226,0.13928510714285716,0.9201598772764834,-0.9362188038354226
180,2014,5,TEN,CLE,28,29,36,176.0,5.8347464,0.0,1.3024002786954803,0.1620762888888889,1.0269654846081315,-1.3024002786954803
182,2014,5,WAS,SEA,17,27,36,225.0,10.996659,1.0,2.2793656114936485,0.30546275,1.6989130050465762,-2.2793656114936485
183,2014,6,ARI,WAS,30,20,17,72.0,-2.4305835,0.0,-0.261930891196887,-0.1429755,-0.40258924155504083,0.261930891196887
184,2014,6,ATL,CHI,13,27,26,106.0,-0.031705856,2.0,0.1920908014238958,-0.0012194559999999998,0.26171770580138487,-0.1920908014238958
185,2014,6,BAL,TB,48,17,18,87.0,1.1153613,0.0,0.40918956551443625,0.061964516666666664,0.5578147949953044,-0.40918956551443625
186,2014,6,BUF,NE,22,37,25,52.0,-6.748587,0.0,-1.0791744311981561,-0.26994348,-0.9975953437697141,1.0791744311981561
187,2014,6,CAR,CIN,37,37,31,193.0,4.453559,2.0,1.0409909305601328,0.1436631935483871,0.940676767655565,-1.0409909305601328
188,2014,6,CHI,ATL,27,13,12,43.0,-1.6151327,0.0,-0.10759523619131162,-0.13459439166666667,-0.36331311381278975,0.10759523619131162
189,2014,6,CIN,CAR,37,37,34,147.0,5.865728,2.0,1.308263986878881,0.17252141176470587,1.0759141396114889,-1.308263986878881
190,2014,6,CLE,PIT,31,10,32,138.0,-2.444277,0.0,-0.26452258071613066,-0.07638365625,-0.09052195192047278,0.26452258071613066
191,2014,6,DAL,SEA,30,23,18,80.0,-0.27215192,1.0,0.1465829660266499,-0.01511955111111111,0.1965781216914742,-0.1465829660266499
192,2014,6,DEN,NYJ,31,17,15,31.0,-4.927824,0.0,-0.7345691524800332,-0.3285216,-1.2721081686273155,0.7345691524800332
193,2014,6,DET,MIN,17,3,17,70.0,-0.62226623,0.0,0.08031885621073574,-0.036603895882352945,0.09589670389643011,-0.08031885621073574
194,2014,6,GB,MIA,27,24,23,112.0,-4.215233,1.0,-0.5997011767099707,-0.183271,-0.5914247919969031,0.5997011767099707
195,2014,6,HOU,IND,28,33,33,95.0,-15.203231,1.0,-2.6793359854929806,-0.4607039696969697,-1.891550303367845,2.6793359854929806
196,2014,6,IND,HOU,33,28,24,136.0,1.9337804,2.0,0.5640870134874759,0.08057418333333334,0.6450246980499774,-0.5640870134874759
197,2014,6,JAX,TEN,14,16,23,71.0,-5.165912,1.0,-0.7796306907469248,-0.22460486956521739,-0.7851264214900219,0.7796306907469248
198,2014,6,LA,SF,17,31,30,89.0,-12.510765,0.0,-2.1697485233306506,-0.4170255,-1.6868612470790416,2.1697485233306506
199,2014,6,LAC,LV,31,28,20,114.0,2.799939,0.0,0.7280198404216234,0.13999695,0.9234957643546107,-0.7280198404216234
201,2014,6,LV,LAC,28,31,30,119.0,2.3286815,1.0,0.6388276599261355,0.07762271666666667,0.6311933314554244,-0.6388276599261355
202,2014,6,MIA,GB,24,27,33,122.0,-1.5296261,0.0,-0.09141189672031015,-0.04635230606060606,0.050213031974168834,0.09141189672031015
203,2014,6,MIN,DET,3,17,28,100.0,-3.0055847,1.0,-0.3707580415669545,-0.10734231071428571,-0.23560253304498568,0.3707580415669545
204,2014,6,NE,BUF,37,22,23,68.0,-5.0967603,1.0,-0.7665427485752462,-0.22159827391304346,-0.7710367056424862,0.7665427485752462
205,2014,6,NYG,PHI,0,27,36,203.0,0.12716892,1.0,0.22216011108405442,0.00353247,0.2839865090640072,-0.22216011108405442
207,2014,6,NYJ,DEN,17,31,33,138.0,-1.1209323,0.0,-0.014060785752342956,-0.033967645454545455,0.1082508824185386,0.014060785752342956
208,2014,6,PHI,NYG,27,0,24,86.0,-4.492399,0.0,-0.6521587819453514,-0.18718329166666667,-0.6097588429545563,0.6521587819453514
209,2014,6,PIT,CLE,10,31,38,158.0,-5.7514186,3.0,-0.890446137394457,-0.15135312105263157,-0.44184902696202216,0.890446137394457
210,2014,6,SEA,DAL,23,30,35,163.0,-1.9864254,1.0,-0.17786765735183852,-0.05675501142857142,0.0014631568207582669,0.17786765735183852
211,2014,6,SF,LA,31,17,23,94.0,-1.4999211,1.0,-0.08578980323295245,-0.06521396086956521,-0.038177755287292156,0.08578980323295245
212,2014,6,TB,BAL,17,48,32,172.0,-2.000881,1.0,-0.18060358512884067,-0.06252753125,-0.025588423576954306,0.18060358512884067
213,2014,6,TEN,JAX,16,14,23,82.0,0.9644637,1.0,0.38063004980267384,0.04193320434782609,0.4639426780641056,-0.38063004980267384
214,2014,6,WAS,ARI,20,30,23,74.0,-5.796591,0.0,-0.8989956561908993,-0.2520256956521739,-0.9136277873423134,0.8989956561908993
215,2014,7,ARI,LV,24,13,18,57.0,-2.8539999,1.0,-0.3420684634870885,-0.15855555,-0.47560154609678207,0.3420684634870885
216,2014,7,ATL,BAL,7,29,36,123.0,-5.8103013,1.0,-0.901590525348944,-0.16139725833333332,-0.4889185556219208,0.901590525348944
217,2014,7,BAL,ATL,29,7,16,68.0,-2.7647705,0.0,-0.3251805311988935,-0.17279815625,-0.5423462295216176,0.3251805311988935
218,2014,7,BUF,MIN,17,16,29,158.0,-2.7641373,0.0,-0.3250606890983651,-0.09531507931034482,-0.1792396919720413,0.3250606890983651
219,2014,7,CAR,GB,17,38,27,125.0,5.3484435,2.0,1.2103605423893649,0.1980905,1.1957377638675053,-1.2103605423893649
221,2014,7,CHI,MIA,14,27,31,139.0,1.4614841,1.0,0.4746982253261181,0.047144648387096776,0.48836490644575226,-0.4746982253261181
222,2014,7,CIN,IND,0,27,34,171.0,-5.213401,1.0,-0.7886186590223374,-0.15333532352941176,-0.4511381608799537,0.7886186590223374
223,2014,7,CLE,JAX,6,24,34,186.0,4.8047113,2.0,1.1074514947379033,0.14131503823529412,0.9296726803239548,-1.1074514947379033
224,2014,7,DAL,NYG,31,21,26,104.0,-3.8289354,0.0,-0.5265888649394976,-0.14726674615384616,-0.4226991751591173,0.5265888649394976
225,2014,7,DEN,SF,42,17,18,62.0,-4.1492844,0.0,-0.5872194667432865,-0.2305158,-0.812826631247333,0.5872194667432865
227,2014,7,DET,NO,24,23,21,73.0,-6.7857428,0.0,-1.0862066944938158,-0.32313060952380956,-1.246844537353395,1.0862066944938158
228,2014,7,GB,CAR,38,17,25,108.0,-6.567551,0.0,-1.0449107948885354,-0.26270203999999997,-0.9636600083503316,1.0449107948885354
230,2014,7,HOU,PIT,23,30,22,78.0,-5.206361,0.0,-0.7872862389532919,-0.23665277272727273,-0.8415861359811431,0.7872862389532919
231,2014,7,IND,CIN,27,0,12,32.0,-3.695475,0.0,-0.5013295871862524,-0.30795625,-1.1757334074932047,0.5013295871862524
232,2014,7,JAX,CLE,24,6,29,70.0,-11.080872,0.0,-1.8991209480767086,-0.3820990344827586,-1.5231864362208316,1.8991209480767086
233,2014,7,KC,LAC,23,20,16,69.0,-1.5230894,0.0,-0.09017473333034848,-0.0951930875,-0.17866800553916756,0.09017473333034848
234,2014,7,LA,SEA,28,26,29,171.0,3.836246,1.0,0.9241556706052013,0.13228434482758622,0.8873524222178085,-0.9241556706052013
236,2014,7,LAC,KC,20,23,39,154.0,2.2395797,1.0,0.621963877751692,0.05742512051282052,0.5365419637514878,-0.621963877751692
237,2014,7,LV,ARI,13,24,37,123.0,-3.9517682,1.0,-0.5498367183282844,-0.10680454594594595,-0.2330824227091497,0.5498367183282844
